SYMBOL,DATE,OPEN,CLOSE,MIN,MAX,VOLUME
AVGO,2025-06-04,257.013679039,260.02142334,256.545583464,264.353792103,31536000
NVDA,2025-06-04,142.172115693,141.902145386,139.522439895,142.372087483,167120800
AVGO,2025-06-05,261.883873403,258.876098633,258.009630937,263.816010046,41970900
NVDA,2025-06-05,142.152115316,139.972396851,138.8125391,143.98188696,231397900
AVGO,2025-06-06,250.121739518,245.92880249,245.132058288,254.284799399,41146700
NVDA,2025-06-06,142.49205755,141.702163696,141.492183415,143.251971658,153986200
AVGO,2025-06-09,244.056433025,243.289550781,240.132405561,247.163777934,25334100
NVDA,2025-06-09,143.171987652,142.612060547,141.922144915,144.981757494,185114500
AVGO,2025-06-10,243.22979654,243.638137817,240.421223105,245.281441714,25491300
NVDA,2025-06-10,142.672050043,143.941894531,141.512192326,144.271839587,155881900
AVGO,2025-06-11,245.361121528,251.884567261,242.811503609,253.737026405,24599000
NVDA,2025-06-11,144.601843565,142.82194519,141.861992628,144.981827013,167694000
AVGO,2025-06-12,249.175589549,255.03175354,248.488384771,256.844381517,20410900
NVDA,2025-06-12,141.961993417,144.991821289,141.842005068,144.991821289,162365000
AVGO,2025-06-13,249.643679559,247.691619873,247.343048098,252.970133574,19028400
NVDA,2025-06-13,142.471956086,141.961990356,140.842058437,143.57190012,180820600
AVGO,2025-06-16,249.33494583,251.077850342,248.558109606,254.15531809,20363000
NVDA,2025-06-16,143.341918254,144.681838989,143.191917563,146.171745158,183133700
AVGO,2025-06-17,249.932497549,248.358901978,246.914784173,252.930302958,22014300
NVDA,2025-06-17,144.481851678,144.111862183,143.771885031,145.211806211,139108000
AVGO,2025-06-18,249.872731275,250.241226196,248.398736395,254.603471745,30435500
NVDA,2025-06-18,144.001868228,145.471786499,143.11191906,145.641775075,161494100
AVGO,2025-06-20,252.776917451,249.562423706,243.752370896,253.086384791,42134900
NVDA,2025-06-20,145.441788983,143.841888428,142.641943939,146.191746659,242956200
AVGO,2025-06-23,248.683919628,253.335952759,246.038458315,253.775202614,19747000
NVDA,2025-06-23,142.491961274,144.161865234,142.021986567,144.771831433,154308900
AVGO,2025-06-24,258.327399451,263.318847656,258.327399451,265.415261996,32764900
NVDA,2025-06-24,145.551783056,147.891647339,145.491788883,147.951656769,187566100
AVGO,2025-06-25,265.545023663,264.19732666,262.979412175,269.408399396,18894200
NVDA,2025-06-25,149.261590836,154.301300049,149.251581635,154.441291548,269146500
AVGO,2025-06-26,264.626595356,269.70791626,263.678238509,271.205350669,23569600
NVDA,2025-06-26,155.971198297,155.011260986,153.991314243,156.711162053,198145700
AVGO,2025-06-27,269.837669595,268.889312744,266.423536187,271.385036771,27477600
NVDA,2025-06-27,156.031193843,157.741104126,155.25123905,158.701056703,263234500
AVGO,2025-06-30,274.260118442,275.178527832,271.664559335,277.235002013,24708400
NVDA,2025-06-30,158.391059639,157.98109436,155.951210079,158.651054739,194580300
AVGO,2025-07-01,273.93065129,264.28717041,262.210741514,274.03048634,28847600
NVDA,2025-07-01,156.281188364,153.291366577,151.481470989,157.191140759,213143600
AVGO,2025-07-02,263.538459354,269.438354492,262.280635186,271.534768726,17582100
NVDA,2025-07-02,152.971371103,157.241134644,152.96137716,157.591121015,171224100
AVGO,2025-07-03,270.266949704,274.709320068,269.657977217,275.328254735,10592700
NVDA,2025-07-03,158.361062402,159.331008911,157.7611054,160.970915798,143716100
AVGO,2025-07-07,274.659416338,273.711029053,272.193639862,277.085252699,16760600
NVDA,2025-07-07,158.191072814,158.231079102,157.331120716,159.301010808,140139000
AVGO,2025-07-08,275.877318664,271.335083008,270.686200904,275.877318664,14869400
NVDA,2025-07-08,159.321021649,159.990982056,158.381072188,160.210970877,138133000
AVGO,2025-07-09,272.493129398,277.424682617,272.253549636,278.972049826,20133000
NVDA,2025-07-09,161.210909047,162.870819092,161.150914872,164.410725528,183656400
AVGO,2025-07-10,279.31146113,274.928955078,272.233591385,280.699067859,17891600
NVDA,2025-07-10,164.310748101,164.090759277,161.600894093,164.490730635,167704100
AVGO,2025-07-11,273.671125811,273.910705566,271.424974209,275.997127176,14274700
NVDA,2025-07-11,163.710776233,164.910705566,163.46079032,167.880539439,193633300
AVGO,2025-07-14,273.661114244,275.128601074,269.118878595,277.883859466,11934200
NVDA,2025-07-14,165.360675025,164.060760498,162.010872982,165.480678637,136975800
AVGO,2025-07-15,279.331400574,280.459472656,277.374761558,282.875316341,17918400
NVDA,2025-07-15,171.180346507,170.690368652,169.19045326,172.390269713,230627400
AVGO,2025-07-16,279.630866537,280.329681396,275.198489038,281.028496256,15031000
NVDA,2025-07-16,171.050356217,171.360336304,168.890474298,171.740319769,158831500
AVGO,2025-07-17,280.659137441,285.96005249,279.431230332,287.786908954,17231100
NVDA,2025-07-17,172.010309139,172.990249634,170.820373767,174.150187918,160841100
AVGO,2025-07-18,286.618918096,282.855377197,280.519383143,287.038213141,15012400
NVDA,2025-07-18,173.630210198,172.400283813,171.250339492,174.240176419,146456400
AVGO,2025-07-21,283.474310158,287.717041016,283.14488799,290.043072876,17726800
NVDA,2025-07-21,172.740263975,171.370346069,170.990362603,173.370233351,123126100
AVGO,2025-07-22,287.157996175,278.113494873,275.95718569,287.507403627,16564800
NVDA,2025-07-22,171.330338731,167.020584106,164.570725253,171.380338965,193114300
AVGO,2025-07-23,276.306588306,283.204772949,272.533054918,283.514240281,20556200
NVDA,2025-07-23,169.520440956,170.770370483,167.960531348,171.25033915,154082200
AVGO,2025-07-24,289.294356369,288.216186523,283.015106154,290.701948384,16413800
NVDA,2025-07-24,172.430279598,173.730209351,171.290344486,173.820200614,128984600
AVGO,2025-07-25,287.577278455,289.683654785,286.778628534,292.08953626,12476200
NVDA,2025-07-25,173.600213525,173.490219116,172.950256272,174.710151561,122316800
AVGO,2025-07-28,291.959751238,293.796600342,290.092954667,294.944657689,13683400
NVDA,2025-07-28,174.010194182,176.740036011,173.960193949,176.990021917,140023500
AVGO,2025-07-29,296.991165684,296.911315918,294.365659076,301.673146498,19210800
NVDA,2025-07-29,177.949965521,175.500091553,175.010128966,179.369883568,154077500
AVGO,2025-07-30,296.641741278,302.102386475,295.294044258,302.741306426,16738900
NVDA,2025-07-30,176.500048707,179.259902954,176.030073969,179.879863136,174312200
AVGO,2025-07-31,302.282073175,293.197662354,289.733596286,306.424999312,25488500
NVDA,2025-07-31,182.889685374,177.859970093,175.920076993,183.289671984,221685400
AVGO,2025-08-01,286.049917483,288.146331787,281.128326481,292.139490284,21428100
NVDA,2025-08-01,174.080179331,173.710205078,170.880362832,176.530038123,204529000
AVGO,2025-08-04,291.700237214,297.210784912,290.901587244,297.969494767,17164600
NVDA,2025-08-04,175.150129411,179.989852905,174.5101661,180.189838579,148174600
