SYMBOL,DATE,CLOSE,SMA_7D,SMA_30D
AVGO,2025-07-15,280.459472656,275.271218436,261.302460225
AVGO,2025-07-16,280.329681396,276.216740199,262.390062968
AVGO,2025-07-17,285.96005249,278.306021554,263.395111593
AVGO,2025-07-18,282.855377197,279.081835066,264.156243388
AVGO,2025-07-21,287.717041016,280.908704485,265.117608134
AVGO,2025-07-22,278.113494873,281.509102958,266.190431213
AVGO,2025-07-23,283.204772949,282.662841797,267.520938619
AVGO,2025-07-24,288.216186523,283.770943778,269.006873576
AVGO,2025-07-25,289.683654785,285.107225691,270.26684316
AVGO,2025-07-28,293.796600342,286.226732527,271.55900472
AVGO,2025-07-29,296.911315918,288.234723772,273.199661255
AVGO,2025-07-30,302.102386475,290.289773124,274.900479126
AVGO,2025-07-31,293.197662354,292.444654192,276.395104472
AVGO,2025-08-01,288.146331787,293.150591169,277.658607992
AVGO,2025-08-04,297.210784912,294.435533796,279.246886698
AVGO,2025-08-05,292.428955078,294.827719552,280.549986776
AVGO,2025-08-06,301.154022217,295.87877982,281.811159261
AVGO,2025-08-07,303.240447998,296.782941546,283.112596639
AVGO,2025-08-08,304.448364258,297.118081229,284.270611572
AVGO,2025-08-11,303.380187988,298.572727748,285.420307414
AVGO,2025-08-12,312.294921875,302.022526332,286.657520549
AVGO,2025-08-13,308.561309814,303.64402989,288.133325195
AVGO,2025-08-14,310.697692871,306.253849574,289.508636475
AVGO,2025-08-15,305.816040039,306.919852121,290.54552714
AVGO,2025-08-18,305.237030029,307.205078125,291.59639384
AVGO,2025-08-19,294.405578613,305.770394461,292.36541036
AVGO,2025-08-20,290.67199707,303.954938616,292.806987508
AVGO,2025-08-21,289.104675293,300.642046247,293.279511515
AVGO,2025-08-22,293.497131348,298.490020752,293.932392375
AVGO,2025-08-25,293.726745605,296.065599714,294.552330526
AVGO,2025-08-26,297.500274658,294.877633231,295.120357259
AVGO,2025-08-27,299.736450195,294.091836112,295.767249552
AVGO,2025-08-28,308.122070312,296.051334926,296.50598348
AVGO,2025-08-29,296.881347656,296.93838501,296.973515828
AVGO,2025-09-02,297.729888916,298.170558384,297.307277425
AVGO,2025-09-03,301.872802734,299.367082868,298.099254354
AVGO,2025-09-04,305.576446533,301.059897287,298.844976807
AVGO,2025-09-05,334.317199707,306.319458008,300.381677246
AVGO,2025-09-08,345.058776855,312.794076102,302.227514648
AVGO,2025-09-09,336.094177246,316.790091378,303.637433879
AVGO,2025-09-10,368.937896729,327.083884103,306.038319906
AVGO,2025-09-11,359.014892578,335.838884626,307.935403442
AVGO,2025-09-12,359.254455566,344.036263602,310.137296549
AVGO,2025-09-15,363.467254639,352.306379046,312.647993978
AVGO,2025-09-16,359.384246826,355.887385777,314.720442708
AVGO,2025-09-17,345.577911377,355.961547852,316.492074585
AVGO,2025-09-18,344.759307861,357.199423654,317.945584106
AVGO,2025-09-19,344.350006104,353.68686785,319.31590271
AVGO,2025-09-22,338.790008545,350.797598703,320.460624186
AVGO,2025-09-23,338.940002441,347.89553397,321.645951335
AVGO,2025-09-24,339.309997559,344.444497245,322.546453857
AVGO,2025-09-25,336.100006104,341.118177141,323.4644104
AVGO,2025-09-26,334.529998779,339.539903913,324.258820597
